STA,ROUTE,LOCATION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
20,I80,EAST OF OVERTON INTG,2020,14189,14246,15082,,,,,,,,,
20,I80,EAST OF OVERTON INTG,2019,13943,13086,15751,16419,19968,22396,23896,23262,21510,19071,16146,16058
27,I76,NEBR-COLO STATE LINE,2020,5220,5375,6202,,,,,,,,,
27,I76,NEBR-COLO STATE LINE,2019,5960,5589,6363,6689,8112,8895,9451,9670,8950,7673,6306,6452
31,I80,EAST OF CHAPPELL INTG,2020,5300,5316,5916,,,,,,,,,
31,I80,EAST OF CHAPPELL INTG,2019,5517,5217,5930,6600,7514,8212,8664,8762,8562,7609,6221,6122
38,I80,WEST OF SEWARD INTG,2020,21992,23414,22419,,,,,,,,,
38,I80,WEST OF SEWARD INTG,2019,22457,20579,26017,27056,30762,32676,33433,33426,31923,29440,26328,25876
43,I80,W. OF SUTHERLAND INTG,2020,11874,11591,12903,,,,,,,,,
43,I80,W. OF SUTHERLAND INTG,2019,12139,11344,13677,14265,17807,19770,21311,20708,18725,16074,13483,13767
45,I80,WEST OF AURORA INTG,2020,18217,19261,18950,,,,,,,,,
45,I80,WEST OF AURORA INTG,2019,17935,17026,21461,22509,26124,28264,29215,29109,27763,24968,21618,21306
53,I80,EAST OF SIDNEY INTG,2020,5685,5766,6313,,,,,,,,,
53,I80,EAST OF SIDNEY INTG,2019,5730,5373,6122,6438,7805,8561,9098,9307,9072,7986,6481,6205
54,I80,EAST OF E KEARNEY INTG,2020,17837,18520,18783,,,,,,,,,
54,I80,EAST OF E KEARNEY INTG,2019,17619,16594,20735,21526,24673,26884,28179,27338,25821,23537,20422,20150
55,I80,EAST OF MILFORD INTG,2020,24836,27021,25553,,,,,,,,,
55,I80,EAST OF MILFORD INTG,2019,25510,24546,30019,31515,35185,37052,37481,37577,36505,33654,29837,28974
56,I80,WEST OF GRETNA,2020,40652,46351,39241,,,,,,,,,
56,I80,WEST OF GRETNA,2019,40701,39739,50456,53222,57627,60071,60636,58399,56480,53928,49291,46467
67,I80,PINE BLUFF INTG,2020,6368,6255,6477,,,,,,,,,
67,I80,PINE BLUFF INTG,2019,6234,5845,6660,7004,8491,9314,9899,10126,9781,8688,7179,6691
69,I80,EAST OF NORTH PLATTE,2020,12749,12811,13885,,,,,,,,,
69,I80,EAST OF NORTH PLATTE,2019,,,,,,,,,,,,
2,US30,WEST OF ELM CREEK,2020,2472,2678,2329,,,,,,,,,
2,US30,WEST OF ELM CREEK,2019,2478,2408,2590,2812,2948,3091,2772,2873,2897,2898,2652,2595
3,N4,WEST OF DAVENPORT,2020,431,498,455,,,,,,,,,
3,N4,WEST OF DAVENPORT,2019,391,412,554,617,610,640,573,539,563,638,520,477
4,US77 & 275,NORTH OF FREMONT,2020,10702,11796,9958,,,,,,,,,
4,US77 & 275,NORTH OF FREMONT,2019,10418,10105,9916,13124,13681,14384,13663,13513,13643,13478,12604,12301
5,US6,NORTH OF GRETNA,2020,19643,21326,17344,,,,,,,,,
5,US6,NORTH OF GRETNA,2019,18873,18530,21745,24350,24966,26049,25192,25192,24700,24565,22123,21725
6,US75,SOUTH OF UNION,2020,3742,4295,3827,,,,,,,,,
6,US75,SOUTH OF UNION,2019,3176,3243,5499,8871,6908,8473,6463,4957,5607,5127,4525,4453
